latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.61,3.88,58.0,0,GMT,GMT

time,windspeed_10m (km/h)
2025-12-09T00:00,9.0
2025-12-09T01:00,10.2
2025-12-09T02:00,10.8
2025-12-09T03:00,10.5
2025-12-09T04:00,12.4
2025-12-09T05:00,11.4
2025-12-09T06:00,13.1
2025-12-09T07:00,11.4
2025-12-09T08:00,10.2
2025-12-09T09:00,10.0
2025-12-09T10:00,8.0
2025-12-09T11:00,8.3
2025-12-09T12:00,8.1
2025-12-09T13:00,10.0
2025-12-09T14:00,11.5
2025-12-09T15:00,8.4
2025-12-09T16:00,11.8
2025-12-09T17:00,10.1
2025-12-09T18:00,11.0
2025-12-09T19:00,9.4
2025-12-09T20:00,11.3
2025-12-09T21:00,11.4
2025-12-09T22:00,12.6
2025-12-09T23:00,12.2
2025-12-10T00:00,11.6
2025-12-10T01:00,11.8
2025-12-10T02:00,12.5
2025-12-10T03:00,12.8
2025-12-10T04:00,13.0
2025-12-10T05:00,13.0
2025-12-10T06:00,13.1
2025-12-10T07:00,10.8
2025-12-10T08:00,8.5
2025-12-10T09:00,7.4
2025-12-10T10:00,7.7
2025-12-10T11:00,5.5
2025-12-10T12:00,6.3
2025-12-10T13:00,7.4
2025-12-10T14:00,8.9
2025-12-10T15:00,8.3
2025-12-10T16:00,8.4
2025-12-10T17:00,6.8
2025-12-10T18:00,5.4
2025-12-10T19:00,5.9
2025-12-10T20:00,4.4
2025-12-10T21:00,6.0
2025-12-10T22:00,6.3
2025-12-10T23:00,6.8
2025-12-11T00:00,7.8
2025-12-11T01:00,7.0
2025-12-11T02:00,6.8
2025-12-11T03:00,5.9
2025-12-11T04:00,6.7
2025-12-11T05:00,7.7
2025-12-11T06:00,7.8
2025-12-11T07:00,6.5
2025-12-11T08:00,6.5
2025-12-11T09:00,7.2
2025-12-11T10:00,8.4
2025-12-11T11:00,8.2
2025-12-11T12:00,8.7
2025-12-11T13:00,8.5
2025-12-11T14:00,8.7
2025-12-11T15:00,8.9
2025-12-11T16:00,8.7
2025-12-11T17:00,7.9
2025-12-11T18:00,7.7
2025-12-11T19:00,8.6
2025-12-11T20:00,9.9
2025-12-11T21:00,7.1
2025-12-11T22:00,8.0
2025-12-11T23:00,9.5
2025-12-12T00:00,10.5
2025-12-12T01:00,12.6
2025-12-12T02:00,15.0
2025-12-12T03:00,13.2
2025-12-12T04:00,18.9
2025-12-12T05:00,22.5
2025-12-12T06:00,23.2
2025-12-12T07:00,20.2
2025-12-12T08:00,19.2
2025-12-12T09:00,20.2
2025-12-12T10:00,20.8
2025-12-12T11:00,19.3
2025-12-12T12:00,16.3
2025-12-12T13:00,15.0
2025-12-12T14:00,14.1
2025-12-12T15:00,12.3
2025-12-12T16:00,10.6
2025-12-12T17:00,8.3
2025-12-12T18:00,6.6
2025-12-12T19:00,9.8
2025-12-12T20:00,11.1
2025-12-12T21:00,9.0
2025-12-12T22:00,7.3
2025-12-12T23:00,8.4
